Group,Bond,"ΔHf,298∘​ (kJ/mol)",Equilibrium Bond Distance re​ (Å)
Aluminum,Al-Al,186(9),2.7
Aluminum,Al-As,180,2.3
Aluminum,Al-Au,326(6),2.33
Aluminum,Al-Br,439(8),2.29
Aluminum,Al-Cl,255,2.13
Aluminum,AlCl-Cl,494(13),2.06
Aluminum,AlCl2-Cl,402(8),2.02
Aluminum,AlO-Cl,372(8),1.6
Aluminum,Al-Cu,515(84),2.34
Aluminum,Al-D,216(10),1.65
Aluminum,Al-F,291,1.65
Aluminum,AlF-F,664(6),1.63
Aluminum,AlF2-F,546(42),1.59
Aluminum,AlO-F,544(46),1.62
Aluminum,Al-H,761(42),1.65
Aluminum,Al-I,285(6),2.54
Aluminum,Al-Li,368(4),2.71
Aluminum,Al-N,176(15),1.68
Aluminum,Al-O,297(96),1.62
Aluminum,AlCl-O,512(4),1.61
Aluminum,AlF-O,540(41),1.6
Aluminum,Al-P,582,2.19
Aluminum,Al-Pd,213(13),2.31
Aluminum,Al-S,259(12),2.07
Aluminum,Al-Se,374(8),2.21
Aluminum,Al-Si,334(10),2.42
Aluminum,Al-Te,251(3),2.38
Aluminum,Al-U,268(10),2.5
Aluminum,Al-U2,326(29),2.55
Antimony,Sb-Sb,299(6),2.48
Antimony,Sb-Br,314(59),2.49
Antimony,Sb-Cl,360(50),2.32
Antimony,Sb-F,439(96),1.88
Antimony,Sb-N,301(50),1.85
Antimony,Sb-O,372(84),1.8
Antimony,Sb-P,357,2.35
Antimony,Sb-S,379,2.22
Antimony,Sb-Te,277.4(38),2.58
Arsenic,As-As,382(11),2.1
Arsenic,As-Cl,448,2.16
Arsenic,As-Ga,209.6(12),2.43
Arsenic,As-H,272(12),1.52
Arsenic,As-N,582(126),1.62
Arsenic,As-O,481(8),1.62
Arsenic,As-P,534(13),2.22
Arsenic,As-S,-478,2.08
Arsenic,As-Se,96,2.23
Arsenic,As-Tl,198(15),2.65
Astatine,At-At,-115.9,2.67
Barium,Ba-Br,370(8),2.5
Barium,Ba-Cl,444(13),2.68
Barium,Ba-F,487(7),2.16
Barium,Ba-I,>431(4),3.2
Barium,Ba-O,563(42),1.94
Barium,Ba-OH,477(42),2.2
Barium,Ba-S,400(19),2.5
Beryllium,Be-Be,59,2.45
Beryllium,Be-Br,381(84),2
Beryllium,Be-Cl,388(9),1.75
Beryllium,BeCl-Cl,540(63),1.75
Beryllium,Be-F,577(42),1.36
Beryllium,Be-H,226(21),1.34
Beryllium,Be-O,448(21),1.33
Beryllium,Be-S,372(59),1.74
Bismuth,Bi-Bi,197(4),2.66
Bismuth,Bi-Br,267(4),2.5
Bismuth,Bi-Cl,305(8),2.35
Bismuth,Bi-D,284,1.81
Bismuth,Bi-F,259(29),1.91
Bismuth,Bi-Ga,159(17),2.6
Bismuth,Bi-H,279,1.81
Bismuth,Bi-O,343(6),1.93
Bismuth,Bi-P,280(13),2.32
Bismuth,Bi-Pb,142(15),2.92
Bismuth,Bi-S,316(5),2.31
Bismuth,Bi-Sb,251(4),2.58
Bismuth,Bi-Se,280(6),2.42
Bismuth,Bi-Te,232(11),2.7
Bismuth,Bi-Tl,121(13),2.9
Boron,B-B,297(21),1.59
Boron,H3B-BH3,146,1.77
Boron,OB-BO,506(84),1.55
Boron,B-Br,435(21),1.89
Boron,B-C,448(29),1.56
Boron,B-Cl,536(29),1.72
Boron,BO-Cl,460(42),1.71
Boron,B-D,341(6),1.18
Boron,B-F,766(13),1.26
Boron,BF-F,523(63),1.31
Boron,BF2-F,557(84),1.31
Boron,B-H,330(4),1.18
Boron,B-I,384(21),2.1
Boron,B-N,389(21),1.28
Boron,B-O,806(5),1.2
Boron,BCl-O,715(41),1.2
Boron,B-P,347(17),1.88
Boron,B-S,581(9),1.61
Boron,B-Se,462(15),1.76
Boron,B-Si,289(29),1.91
Boron,B-Te,354(20),1.92
Bromine,Br-Br,193.870(4),2.28
Bromine,Br-C,280(21),1.94
Bromine,Br-CH3,284(8),1.94
