Group,Bond,DeltaHf298_kJ_per_mol
Aluminum,Al-Al,186(9)
Aluminum,Al-As,180
Aluminum,Al-Au,326(6)
Aluminum,Al-Br,439(8)
Aluminum,Al-Cl,255
Aluminum,AlCl-Cl,494(13)
Aluminum,AlCl2-Cl,402(8)
Aluminum,AlO-Cl,372(8)
Aluminum,Al-Cu,515(84)
Aluminum,Al-D,216(10)
Aluminum,Al-F,291
Aluminum,AlF-F,664(6)
Aluminum,AlF2-F,546(42)
Aluminum,AlO-F,544(46)
Aluminum,Al-H,761(42)
Aluminum,Al-I,285(6)
Aluminum,Al-Li,368(4)
Aluminum,Al-N,176(15)
Aluminum,Al-O,297(96)
Aluminum,AlCl-O,512(4)
Aluminum,AlF-O,540(41)
Aluminum,Al-P,582
Aluminum,Al-Pd,213(13)
Aluminum,Al-S,259(12)
Aluminum,Al-Se,374(8)
Aluminum,Al-Si,334(10)
Aluminum,Al-Te,251(3)
Aluminum,Al-U,268(10)
Aluminum,Al-U2,326(29)
Antimony,Sb-Sb,299(6)
Antimony,Sb-Br,314(59)
Antimony,Sb-Cl,360(50)
Antimony,Sb-F,439(96)
Antimony,Sb-N,301(50)
Antimony,Sb-O,372(84)
Antimony,Sb-P,357
Antimony,Sb-S,379
Antimony,Sb-Te,277.4(38)
Arsenic,As-As,382(11)
Arsenic,As-Cl,448
Arsenic,As-Ga,209.6(12)
Arsenic,As-H,272(12)
Arsenic,As-N,582(126)
Arsenic,As-O,481(8)
Arsenic,As-P,534(13)
Arsenic,As-S,(478)
Arsenic,As-Se,96
Arsenic,As-Tl,198(15)
Astatine,At-At,(115.9)
Barium,Ba-Br,370(8)
Barium,Ba-Cl,444(13)
Barium,Ba-F,487(7)
Barium,Ba-I,>431(4)
Barium,Ba-O,563(42)
Barium,Ba-OH,477(42)
Barium,Ba-S,400(19)
Beryllium,Be-Be,59
Beryllium,Be-Br,381(84)
Beryllium,Be-Cl,388(9)
Beryllium,BeCl-Cl,540(63)
Beryllium,Be-F,577(42)
Beryllium,Be-H,226(21)
Beryllium,Be-O,448(21)
Beryllium,Be-S,372(59)
Bismuth,Bi-Bi,197(4)
Bismuth,Bi-Br,267(4)
Bismuth,Bi-Cl,305(8)
Bismuth,Bi-D,284
Bismuth,Bi-F,259(29)
Bismuth,Bi-Ga,159(17)
Bismuth,Bi-H,279
Bismuth,Bi-O,343(6)
Bismuth,Bi-P,280(13)
Bismuth,Bi-Pb,142(15)
Bismuth,Bi-S,316(5)
Bismuth,Bi-Sb,251(4)
Bismuth,Bi-Se,280(6)
Bismuth,Bi-Te,232(11)
Bismuth,Bi-Tl,121(13)
Boron,B-B,297(21)
Boron,H3B-BH3,146
Boron,OB-BO,506(84)
Boron,B-Br,435(21)
Boron,B-C,448(29)
Boron,B-Cl,536(29)
Boron,BO-Cl,460(42)
Boron,B-D,341(6)
Boron,B-F,766(13)
Boron,BF-F,523(63)
Boron,BF2-F,557(84)
Boron,B-H,330(4)
Boron,B-I,384(21)
Boron,B-N,389(21)
Boron,B-O,806(5)
Boron,BCl-O,715(41)
Boron,B-P,347(17)
Boron,B-S,581(9)
Boron,B-Se,462(15)
Boron,B-Si,289(29)
Boron,B-Te,354(20)
Bromine,Br-Br,193.870(4)
Bromine,Br-C,280(21)
Bromine,Br-CH3,284(8)
Bromine,Br-CH2Br,255(13)
Bromine,Br-CHBr2,259(17)
Bromine,Br-CBr3,209(13)
Bromine,Br-CCl3,218(13)
Bromine,Br-CF3,285(13)
Bromine,Br-CF2CF3,287.4(63)
Bromine,Br-CF2CF2CF3,278.2(63)
Bromine,Br-CHF2,289
Bromine,Br-Cl,218.84(4)
Bromine,Br-CN,381
Bromine,Br-CO-C6H5,268
Bromine,Br-F,233.8(2)
Bromine,Br-N,276(21)
Bromine,Br-NF2,222
Bromine,Br-NO,120.1(63)
Bromine,Br-O,235.1(4)
Cadmium,Cd-Cd,11.3(8)
Cadmium,Cd-Br,159(96)
Cadmium,Cd-Cl,206.7(34)
Cadmium,Cd-F,305(21)
Cadmium,Cd-H,69.0(4)
Cadmium,Cd-I,138(21)
Cadmium,Cd-In,138
Cadmium,Cd-O,142(42)
Cadmium,Cd-S,196
Cadmium,Cd-Se,310
Calcium,Ca-Ca,14.98(46)
Calcium,Ca-Br,321(23)
Calcium,Ca-Cl,398(13)
Calcium,Ca-F,527(21)
Calcium,Ca-H,167.8
Calcium,Ca-I,285(63)
Calcium,Ca-O,464(84)
Calcium,Ca-S,314(19)
Carbon,C-C,607(21)
Carbon,H3C-CH3,368
Carbon,(CH3)2C-CH3,335
Carbon,(CH3)2C-C(CH3)2,282.4
Carbon,CH3-C6H5,389
Carbon,CH3-CH2C6H5,301
Carbon,(CH3)3C-C(CH3)3,63
Carbon,CH3-allyl,301
Carbon,CH3-vinyl,121
Carbon,CH3-C#CH,490
Carbon,CH3=CH-CH=CH2,418
Carbon,HC#C-C#CH,628
Carbon,H2C=CH2,682
Carbon,HC#CH,962
Carbon,CH3-CN,506(21)
Carbon,CH3-CH2CN,305(8)
Carbon,CH3-CH(CH3)CN,331(8)
Carbon,CH3-C(C6H5)CN(CH3),251
Carbon,CH3CH2-CH2CN,321.8(71)
Carbon,NC-CN,603(21)
Carbon,C6H5-C6H5,418
Carbon,CH3-CF3,423.4(46)
Carbon,CH3F-CH2F,368(8)
Carbon,CF3-CF3,406(13)
Carbon,CF2=CF2,318(13)
Carbon,CF3-CN,501
Carbon,CH3-CHO,314
Carbon,CH3-CO,342.7
Carbon,CH3CO-CF3,308.8
Carbon,CH3CO-COCH3,280(85)
Carbon,C6H5CO-COC6H5,277.8
Carbon,Aryl-CH2COOCH3-aryl,273.6
Carbon,C6H5CH2-COOH,284.9
Carbon,(C6H5CH2)2CH-COOH,248.5
Carbon,C-Cl,397(29)
Carbon,C-F,536(21)
Carbon,C-H,337.2(8)
Carbon,C-I,209(21)
Carbon,C-N,770(4)
Carbon,CF3-NF2,272(13)
Carbon,CH3-NH2,331(13)
Carbon,C6H5CH2-NH2,301(4)
Carbon,CH3-NHC2H5,285
Carbon,CH3-N(CH3)C6H5,272
Carbon,C6H5CH2-NHCH3,289(4)
Carbon,C6H5CH2-N(CH3)2,255(4)
Carbon,CH3-(N=NCH3),219.7
Carbon,C2H5-(N=NC2H5),209.2
Carbon,(CH3)3C-N=NC(CH3)3,182.0
Carbon,Aryl-CH2N=NCH2-aryl,157
Carbon,CF3-(N=NCF3),231.0
Carbon,H2C=NH,644(21)
Carbon,HC#N,937
Carbon,CH3-NO,174.9(38)
Carbon,C2H5-NO,175.7(54)
Carbon,C3H7-NO,167.8(75)
Carbon,(CH3)2CH-NO,171.5(54)
Carbon,C6H5-NO,215.5(42)
Carbon,NC-NO,121(13)
Carbon,Cl3C-NO,134
Carbon,F3C-NO,130
Carbon,C6F5-NO,211.3(42)
Carbon,CH3-NO2,247(8)
Carbon,C2H5-NO2,259
Carbon,C-O,1076.5(4)
Carbon,CH3-OCH3,335
Carbon,CH3-OC6H5,381
Carbon,CH3-OCH2C6H5,213
Carbon,C2H5-OC2H5,285
Carbon,C6H5CH2-OCOCH3,289
Carbon,C6H5CH2-OCOC6H5,406
Carbon,CH3CO-OCH3,280
Carbon,CH3-OSOCH3,209
Carbon,CH2=CHCH2-OSOCH3,222
Carbon,C6H5CH2-OSOCH3,749
Carbon,C=O,732
Carbon,H2C=O,532.2(4)
Carbon,OC=O,628
Carbon,SC=O,1075
Carbon,C#O,513(8)
Carbon,C-P,699(8)
Carbon,C-S,305(13)
Carbon,CH3-SH,285(8)
Carbon,CH3-SC6H5,247(8)
Carbon,CH3-SCH2C6H5,310.4
Carbon,OC-S,582(96)
Carbon,C-Se,243(21)
Cerium,Ce-Ce,582(42)
Cerium,Ce-F,519(21)
Cerium,Ce-N,795(13)
Cerium,Ce-O,573(13)
Cerium,Ce-S,495(15)
Cerium,Ce-Se,389(42)
Cerium,Ce-Te,397.5(42)
Cesium,Cs-Cs,41.75(93)
Cesium,Cs-Br,439(21)
Cesium,Cs-Cl,514(8)
Cesium,Cs-F,178.1(38)
Cesium,Cs-H,339(4)
Cesium,Cs-I,297(25)
Cesium,Cs-O,385(13)
Chlorine,Cl-Cl,242.580(16)
Chlorine,Cl-C,338(42)
Chlorine,Cl-CH3,339(21)
Chlorine,Cl-CH2Cl,213
Chlorine,Cl-C(CH3)3,328.4
Chlorine,Cl-CCl3,310(13)
Chlorine,Cl-CF3,360(33)
Chlorine,Cl-CCl2F,305(8)
Chlorine,Cl-CClF2,318(8)
Chlorine,Cl-CF2CF2,346.0(71)
Chlorine,Cl-CH=CH2,351
Chlorine,Cl-CN,439
Chlorine,Cl-COCl,328
Chlorine,Cl-COCH3,349.4
Chlorine,Cl-COC6H5,310(13)
Chlorine,Cl-Cl+,393
Chlorine,Cl-ClO,143.3(42)
Chlorine,O3Cl-ClO4,243
Chlorine,Cl-F,250.54(8)
Chlorine,O2Cl-F,255
Chlorine,Cl-N,389(50)
Chlorine,Cl-NCl,280
Chlorine,Cl-NCl2,381
Chlorine,Cl-NF2,ca. 134
Chlorine,Cl-NH2,251(25)
Chlorine,Cl-NO,159(6)
Chlorine,Cl-NO2,142(4)
Chlorine,Cl-O,272(4)
Chlorine,OCl-O,243(13)
Chlorine,O2Cl-O,201(4)
Chlorine,Cl-P,289(42)
Chlorine,Cl-SiCl3,464
Chromium,Cr-Cr,155(21)
Chromium,Cr-Br,328(24)
Chromium,Cr-Cl,366(24)
Chromium,Cr-Cu,155(21)
Chromium,Cr-F,437(20)
Chromium,Cr-Ge,170(29)
Chromium,Cr-H,280(50)
Chromium,Cr-I,287(24)
Chromium,Cr-N,378(19)
Chromium,Cr-O,427(29)
Chromium,OCr-O,531(63)
Chromium,O2Cr-O,477(84)
Chromium,Cr-S,339(21)
Cobalt,Co-Co,167(25)
Cobalt,Co-Br,331(42)
Cobalt,Co-Cl,398(8)
Cobalt,Co-Cu,162(17)
Cobalt,Co-F,435(63)
Cobalt,Co-Ge,239(25)
Cobalt,Co-I,235(81)
Cobalt,Co-O,368(21)
Cobalt,Co-S,343(21)
Copper,Cu-Cu,202(4)
Copper,Cu-Br,331(25)
Copper,Cu-Cl,383(21)
Copper,Cu-F,431(13)
Copper,Cu-Ga,216(15)
Copper,Cu-Ge,209(21)
Copper,Cu-H,280(8)
Copper,Cu-I,197(21)
Copper,Cu-Ni,206(17)
Copper,Cu-O,343(63)
Copper,Cu-S,285(17)
Copper,Cu-Se,293(38)
Copper,Cu-Sn,177(17)
Copper,Cu-Te,176(38)
Curium,Cm-O,736
Dysprosium,Dy-F,527(21)
Dysprosium,Dy-O,611(42)
Dysprosium,Dy-Se,322(42)
Dysprosium,Dy-Te,234(42)
Erbium,Er-F,565(17)
Erbium,Er-O,611(13)
Erbium,Er-S,418(42)
Erbium,Er-Se,326(42)
Erbium,Er-Te,239(42)
Europium,Eu-Eu,33.5(165)
Europium,Eu-Cl,ca. 326
Europium,Eu-F,528(18)
Europium,Eu-O,557(13)
Europium,Eu-S,364(15)
Europium,Eu-Se,243(15)
Fluorine,F-F,156.9(96)
Fluorine,F-F+,>251
Fluorine,F-CH3,452(21)
Fluorine,F-C(CH3)3,439
Fluorine,F-C6H5,485
Fluorine,F-CCl3,444(21)
Fluorine,F-CCl2F,460(25)
Fluorine,F-CClF2,490(25)
Fluorine,F-CF3,498
Fluorine,F-COCH3,272(13)
Fluorine,F-FO,81.0
Fluorine,F-N,301(42)
Fluorine,F-NF,318(25)
Fluorine,F-NF2,243(8)
Fluorine,F-NO,235.6(42)
Fluorine,F-NO2,197(25)
Gadolinium,Gd-F,590(27)
Gadolinium,Gd-O,716(17)
Gadolinium,Gd-S,525(15)
Gadolinium,Gd-Se,431(15)
Gallium,Ga-Ga,138(21)
Gallium,Ga-Br,444(17)
Gallium,(CH3)2Ga-CH3,253
Gallium,Ga-Cl,481(13)
Gallium,Ga-F,577(15)
Gallium,Ga-H,274
Gallium,Ga-I,339(10)
Gallium,Ga-O,285(63)
Gallium,Ga-P,230(13)
Gallium,Ga-Sb,209(13)
Gallium,Ga-Te,251(25)
Germanium,Ge-Ge,274(21)
Germanium,Ge-Br,255(29)
Germanium,Ge-Cl,431.8(4)
Germanium,Ge-F,485(21)
Germanium,Ge-H,321.3(8)
Germanium,Ge-O,662(13)
Germanium,Ge-S,551.0(25)
Germanium,Ge-Se,490(21)
Germanium,Ge-Si,301(21)
Germanium,Ge-Te,402(8)
Gold,Au-Au,221.3(21)
Gold,Au-B,368(11)
Gold,Au-Be,285(8)
Gold,Au-Bi,293(84)
Gold,Au-Cl,343(10)
Gold,Au-Co,215(13)
Gold,Au-Cr,215(6)
Gold,Au-Cu,232(9)
Gold,Au-Fe,187(17)
Gold,Au-Ga,294(15)
Gold,Au-Ge,277(15)
Gold,Au-H,314(10)
Gold,Au-La,80(5)
Gold,Au-Li,68.0(16)
Gold,Au-Mg,243(42)
Gold,Au-Mn,185(13)
Gold,Au-Ni,274(21)
Gold,Au-Pb,130(42)
Gold,Au-Pd,143(21)
Gold,Au-Rh,231(29)
Gold,Au-S,418(25)
Gold,Au-Si,312(12)
Gold,Au-Sn,244(17)
Gold,Au-Te,247(67)
Gold,Au-U,318(29)
Hafnium,Hf-C,548(63)
Hafnium,Hf-N,534(29)
Hafnium,Hf-O,791(8)
Hydrogen,H-H,436.002(4)
Hydrogen,H-2H or H-D,439.446(4)
Hydrogen,2H-2H or D-D,443.546(4)
Hydrogen,H-Br,365.7(21)
Hydrogen,H-C,337.2(8)
Hydrogen,H-CH,452(33)
Hydrogen,H-CH2,473(4)
Hydrogen,H-CH3,431(8)
Hydrogen,2H-C2H3 or D-CD3,442.75(25)
Hydrogen,H-C#CH,523(4)
Hydrogen,H-CH=CH2,427
Hydrogen,H-CH2CH3,410(4)
Hydrogen,H-CH2C#CH,392.9(50)
Hydrogen,H-CH2CH=CH2,356
Hydrogen,H-cyclopropyl,423(13)
Hydrogen,H-CH2CH2CH3,410(8)
Hydrogen,H-CH(CH3)2,395.4
Hydrogen,H-cyclobutyl,397(13)
Hydrogen,H-CH2CH(CH3)2,360
Hydrogen,H-CH(CH3)CH2CH3,397(4)
Hydrogen,H-C(CH3)3,381
Hydrogen,H-cyclopentadienyl,339(4)
Hydrogen,H-allyl(divinylmethyl),335(4)
Hydrogen,H-cyclopentenyl,343(4)
Hydrogen,H-CH2C(CH3)3,414(4)
Hydrogen,H-C(CH3)2CH=CH2,331
Hydrogen,H-cyclopentyl,395(42)
Hydrogen,H-CH2C(CH3)3 isomer,418(34)
Hydrogen,H-C6H5,431
Hydrogen,H-CH2C6H5,356(4)
Hydrogen,H-C(C6H5)3,314
Hydrogen,H-cyclohexyl,310
Hydrogen,H-cyclohexyl2,399.6(42)
Hydrogen,H-cycloheptyl,387.0(42)
Hydrogen,H-norbornyl,406(13)
Hydrogen,H-CH2Br,410(25)
Hydrogen,H-CHBr2,435
Hydrogen,H-CH2Cl,423
Hydrogen,H-CHCl2,414.2
Hydrogen,H-CCl3,377(8)
Hydrogen,H-CBr3,377(8)
Hydrogen,H-CCl2CHCl2,393(8)
Hydrogen,H-CH2F,423(8)
Hydrogen,H-CHF2,423(8)
Hydrogen,H-CF3,444(13)
Hydrogen,H-CF2Cl,435(4)
Hydrogen,H-CH2CF3,446(45)
Hydrogen,H-CF2CH3,416(4)
Hydrogen,H-CF2CF3,431(63)
Hydrogen,H-CF2CF2,431(8)
Hydrogen,H-CH2I,431(8)
Hydrogen,H-CHI2,431(8)
Hydrogen,H-CN,540(25)
Hydrogen,H-CH2CN,ca. 389
Hydrogen,H-CH(CH3)CN,377(8)
Hydrogen,H-C(CH3)2CN,364(8)
Hydrogen,H-CH2NH2,397(8)
Hydrogen,H-CH2Si(CH3)3,414(4)
Hydrogen,H-CH2COCH3,393(75)
Hydrogen,H-Cl,431.8(4)
Hydrogen,H-CO,126(8)
Hydrogen,H-CHO,364(4)
Hydrogen,H-COOH,377
Hydrogen,H-COCH3,364(4)
Hydrogen,H-COCH2CH3,364(4)
Hydrogen,H-furanyl,385
Hydrogen,H-COC6H5,364(4)
Hydrogen,H-COCF3,381(8)
Hydrogen,H-F,568.6(13)
Hydrogen,H-I,298.7(8)
Hydrogen,H-N,436.0
Hydrogen,H-NH,314(17)
Hydrogen,H-NH2,377(8)
Hydrogen,H-NHCH3,435(8)
Hydrogen,H-N(CH3)2,397(8)
Hydrogen,H-NHC6H5,335(13)
Hydrogen,H-N(CH3)C6H5,318(13)
Hydrogen,HNF2,310(13)
Hydrogen,H-N3,356
Hydrogen,H-NO,<205
Hydrogen,H-O,428.0(21)
Hydrogen,H-OH,498.7(8)
Hydrogen,H-OCH3,436.8(42)
Hydrogen,H-OCH2CH3,436.0
Hydrogen,H-OC(CH3)3,439(4)
Hydrogen,H-OC6H5,368(25)
Hydrogen,H-ONO,327.6(25)
Hydrogen,H-ONO2,423.4(25)
Hydrogen,H-OOH,374(8)
Hydrogen,H-OOCCH3,469(17)
Hydrogen,H-OOCCH2CH3,460(17)
Hydrogen,H-OOCC6H7,431(17)
Hydrogen,H-P,343(29)
Hydrogen,H-S,344(12)
Hydrogen,H-SH,381(4)
Hydrogen,H-SCH3,ca. 368
Hydrogen,H-Se,305(2)
Hydrogen,H-Si,298.49(46)
Hydrogen,H-SiH3,393(13)
Hydrogen,H-Si(CH3)3,377(13)
Hydrogen,H-Te,268(2)
Indium,In-In,100(8)
Indium,In-Br,418(21)
Indium,In-Cl,439(8)
Indium,In-F,506(15)
Indium,In-O,360(21)
Indium,In-P,197.9(85)
Indium,In-S,289(17)
Indium,In-Sb,152(11)
Indium,In-Se,247(17)
Indium,In-Te,218(17)
Iodine,I-I,152.549(8)
Iodine,I-Br,179.1(4)
Iodine,I-CH3,232(13)
Iodine,I-C2H5,223.8
Iodine,I-CH(CH3)2,222
Iodine,I-C(CH3)3,207.1
Iodine,I-CH2CF3,234(4)
Iodine,I-CF2CF3,216(4)
Iodine,I-C3F7,209(4)
Iodine,I-CH=CHCH3,172
